trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
78014_02_342_38073,20:46:00,20:46:00,000000040000002,28,,3,3,,
78014_02_342_38073,20:48:00,20:48:00,000000040100002,29,,3,3,,
78014_02_342_38073,20:49:00,20:49:00,000000007800002,30,,3,3,,
78014_02_342_38073,20:50:00,20:50:00,000000037800002,31,,3,3,,
78014_02_342_38073,20:51:00,20:51:00,000000043400002,32,,3,3,,
78014_02_342_38073,20:52:00,20:52:00,000000010700002,33,,3,3,,
78014_02_342_38073,20:53:00,20:53:00,000000007100002,34,,3,3,,
78014_02_342_38073,20:55:00,20:55:00,000000051600004,35,,0,0,,
78014_04_346_38074,20:56:00,20:56:00,000000000600004,0,,3,3,,
78014_04_346_38074,20:58:00,20:58:00,000000044700002,1,,3,3,,
78014_04_346_38074,20:59:00,20:59:00,000000046700002,2,,3,3,,
78014_04_346_38074,21:00:00,21:00:00,000000020700002,3,,3,3,,
78014_04_346_38074,21:00:00,21:00:00,000000040000002,4,,3,3,,
78014_04_346_38074,21:02:00,21:02:00,000000040100002,5,,3,3,,
78014_04_346_38074,21:03:00,21:03:00,000000007800002,6,,3,3,,
78014_04_346_38074,21:04:00,21:04:00,000000037800002,7,,3,3,,
78014_04_346_38074,21:05:00,21:05:00,000000043400002,8,,3,3,,
78014_04_346_38074,21:06:00,21:06:00,000000010700002,9,,3,3,,
78014_04_346_38074,21:07:00,21:07:00,000000007100002,10,,3,3,,
78014_04_346_38074,21:08:00,21:08:00,000000051600004,11,,0,0,,
78014_03_350_38075,21:11:00,21:11:00,000000000600004,24,,3,3,,
78014_03_350_38075,21:13:00,21:13:00,000000044700002,25,,3,3,,
78014_03_350_38075,21:14:00,21:14:00,000000046700002,26,,3,3,,
78014_03_350_38075,21:15:00,21:15:00,000000020700002,27,,3,3,,
78014_03_350_38075,21:15:00,21:15:00,000000040000002,28,,3,3,,
78014_03_350_38075,21:17:00,21:17:00,000000040100002,29,,3,3,,
78014_03_350_38075,21:18:00,21:18:00,000000007800002,30,,3,3,,
78014_03_350_38075,21:19:00,21:19:00,000000037800002,31,,3,3,,
78014_03_350_38075,21:20:00,21:20:00,000000043400002,32,,3,3,,
78014_03_350_38075,21:21:00,21:21:00,000000010700002,33,,3,3,,
78014_03_350_38075,21:22:00,21:22:00,000000007100002,34,,3,3,,
78014_03_350_38075,21:23:00,21:23:00,000000051600004,35,,0,0,,
